"id_docente","id_producao","tipo_producao","issn","titulo","local","ano_trabalho"
"2446301582459104",159886,"ARTIGO-PUBLICADO","01400118","Voxel-based comparative analysis of lung lesions in CT for therapeutic purposes","Medical & Biological Engineering & Computing",2016
"8287861610873629",159688,"ARTIGO-PUBLICADO","21754411","Visualização Imersiva e Interação Gestual com Dados Médicos","Journal of Health Informatics",2016
"2446301582459104",159746,"ARTIGO-PUBLICADO","03029743","Visualization of Power Systems Based on Panoramic Augmented Environments","Lecture Notes in Computer Science",2014
"6446831084215512",159746,"ARTIGO-PUBLICADO","03029743","Visualization of Power Systems Based on Panoramic Augmented Environments","Lecture Notes in Computer Science",2014
"8287861610873629",159746,"ARTIGO-PUBLICADO","03029743","Visualization of Power Systems Based on Panoramic Augmented Environments","Lecture Notes in Computer Science",2014
"2446301582459104",159894,"ARTIGO-PUBLICADO","13807501","Unsupervised detection of density changes through principal component analysis for lung lesion classification","Multimedia Tools and Applications",2017
"6446831084215512",159894,"ARTIGO-PUBLICADO","13807501","Unsupervised detection of density changes through principal component analysis for lung lesion classification","Multimedia Tools and Applications",2017
"2446301582459104",159602,"ARTIGO-PUBLICADO","13807501","Texture based on geostatistic for glaucoma diagnosis from fundus eye image","Multimedia Tools and Applications",2017
"6047330108382641",159602,"ARTIGO-PUBLICADO","13807501","Texture based on geostatistic for glaucoma diagnosis from fundus eye image","Multimedia Tools and Applications",2017
"6446831084215512",159602,"ARTIGO-PUBLICADO","13807501","Texture based on geostatistic for glaucoma diagnosis from fundus eye image","Multimedia Tools and Applications",2017
"8287861610873629",159602,"ARTIGO-PUBLICADO","13807501","Texture based on geostatistic for glaucoma diagnosis from fundus eye image","Multimedia Tools and Applications",2017
"2446301582459104",159686,"ARTIGO-PUBLICADO","09574174","Texture analysis of masses malignant in mammograms images using a combined approach of diversity index and local binary patterns distribution","Expert Systems with Applications",2016
"6446831084215512",159686,"ARTIGO-PUBLICADO","09574174","Texture analysis of masses malignant in mammograms images using a combined approach of diversity index and local binary patterns distribution","Expert Systems with Applications",2016
"8287861610873629",159686,"ARTIGO-PUBLICADO","09574174","Texture analysis of masses malignant in mammograms images using a combined approach of diversity index and local binary patterns distribution","Expert Systems with Applications",2016
"2446301582459104",159684,"ARTIGO-PUBLICADO","15173151","Texture analysis of masses in digitized mammograms using Gleason and Menhinick Diversity Indexes","Revista Brasileira de Engenharia Biomédica (Impresso)",2014
"6446831084215512",159684,"ARTIGO-PUBLICADO","15173151","Texture analysis of masses in digitized mammograms using Gleason and Menhinick Diversity Indexes","Revista Brasileira de Engenharia Biomédica (Impresso)",2014
"8287861610873629",159684,"ARTIGO-PUBLICADO","15173151","Texture analysis of masses in digitized mammograms using Gleason and Menhinick Diversity Indexes","Revista Brasileira de Engenharia Biomédica (Impresso)",2014
"2446301582459104",159888,"ARTIGO-PUBLICADO","24464740","Taxonomic indexes for differentiating malignancy of lung nodules on CT images","Research on Biomedical Engineering",2016
"6446831084215512",159888,"ARTIGO-PUBLICADO","24464740","Taxonomic indexes for differentiating malignancy of lung nodules on CT images","Research on Biomedical Engineering",2016
"1972734433460838",160213,"ARTIGO-PUBLICADO","15480992","Survey on Reinsurrance Contract Optimization Using Evolutionary and Swarm Computation","IEEE Latin America Transactions",2016
"2446301582459104",159597,"ARTIGO-PUBLICADO","00104825","Surgical Planning for Horizontal Strabismus Using Support Vector Regression","Computers in Biology and Medicine",2015
"6047330108382641",159597,"ARTIGO-PUBLICADO","00104825","Surgical Planning for Horizontal Strabismus Using Support Vector Regression","Computers in Biology and Medicine",2015
"6446831084215512",159597,"ARTIGO-PUBLICADO","00104825","Surgical Planning for Horizontal Strabismus Using Support Vector Regression","Computers in Biology and Medicine",2015
"770343284012942",160349,"ARTIGO-ACEITO-PARA-PUBLICACAO","1793351X","Stream-based Reasoning for IoT Applications - Proposal of Architecture and Analysis of Challenges","INTERNATIONAL JOURNAL OF SEMANTIC COMPUTING",2017
"6047330108382641",159600,"ARTIGO-PUBLICADO","21754411","Strabismus Mobile: Um Aplicativo para Diagnóstico de Estrabismo","Journal of Health Informatics",2016
