"nome_congresso","sigla_congresso","estrato_qualis"
"SAC - ACM Symposium on Applied Computing","SAC","A1"
"3DCVE - International Workshop on Collaborative Virtual Environments","3DCVE","B4"
"3DIC - International 3D System Integration Conference","3DIC","B1"
"3DIPM - Three-Dimensional Image Processing, Measurement and Applications","3DIPM","B5"
"3DOR - Eurographics Workshop on 3D Object Retrieval","3DOR","B4"
"3DTV - 3DTV Conference: The True Vision-Capture, Transmission and Display of 3D Video","3DTV","B1"
"3DUI - IEEE Symposium on 3D User Interfaces","3DUI","B1"
"3PGCIC - International Conference on P2P, Parallel, Grid, Cloud and Internet Computing","3PGCIC","B1"
"A-TEST - International Workshop on Automating Test Case Design, Selection and Evaluation","A-TEST","B4"
"AAAI - Conference on Artificial Intelligence","AAAI","A1"
"AAATE - Association for the Advancement of Assistive Technology in Europe Congress","AAATE","B5"
"AAIM - International Conference on Algorithmic Aspects of Information and Management","AAIM","B2"
"AAMAS - International Conference on Autonomous Agents and Multiagent Systems","AAMAS","A1"
"AC - International Conference on Augmented Cognition","AC-HCI","B2"
"ACE - International Conference on Advances in Computer Entertainment Technology","ACE","B1"
"ACHI - IARIA International Conference on Advances in Computer-Human Interactions","ACHI-IARIA","B5"
"ACIVS - Advanced Concepts for Intelligent Vision Systems","ACIVS","B1"
"ACL - Annual Meeting of the Association for Computational Linguistics","ACL","A1"
"SoCC - ACM Symposium on Cloud Computing","ACMSOCC","A1"
"ACRA - Australasian Conference on Robotics and Automation","ACRA","B5"
"ACRI - International conference on Cellular Automata for Research and Industry","ACRI","B2"
"ADBIS - East European Conference on Advances in Databases and Information Systems","ADBIS","B1"
"ADHOC-NOW - International Conference on Ad-Hoc Networks and Wireless","ADHOC-NOW","B1"
"ADVCOMP - IARIA International Conference on Advanced Engineering Computing and Applications in Sciences","ADVCOMP-IARIA","B5"
"AGERE - Workshop on Programming based on Actors, Agents, and Decentralized Control","AGERE","B2"
"AGI - Conference on Artificial General Intelligence","AGI","B1"
"AGILE - Agile Conference","AGILE","B1"
"AGILEGIS - Conference on Geographic Information Science","AGILEGIS","B2"
"AH - Augmented Human International Conference","AH","B1"
"AHS - NASA/ESA Conference on Adaptive Hardware and Systems","AHS","B1"
"AI - Canadian Conference on Artificial Intelligence","AI","B1"
"AICCSA - ACS/IEEE International Conference on Computer Systems and Applications","AICCSA","B2"
"AICT - International Conference on Application of Information and Communication Technologies","AICT","B2"
"AICT - IARIA Advanced International Conference on Telecommunications","AICT-IARIA","B5"
"AIED - Intternational Conference on Artificial Intelligence in Education","AIED","A2"
"AIIDE - AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment","AIIDE","A2"
"AIML - Advances in Modal Logic","AIML","B2"
"AINA - IEEE International Conference on Advanced Information Networking and Applications","AINA","A2"
"AINAW - IEEE International Conference on Advanced Information Networking and Applications Workshops","AINAW","B4"
"AISEC - ACM Workshop on Artificial Intelligence and Security","AISEC","B4"
"ALIO/EURO - Workshop on Applied Combinatorial Optimization","ALIO/EURO","B5"
"ALLERTON - Allerton Conference on Communication, Control, and Computing","ALLERTON","A1"
"AM - Audio Mostly on Interaction With Sound","AM","B5"
"AMCIS - Americas Conference on Information Systems","AMCIS","A2"
"AMIA - Annual Symposium of the American Medical Informatics Association","AMIA","B2"
"AMW - Alberto Mendelzon International Workshop on Foundations of Data Management","AMW","B1"
"ANNPR - International IAPR TC3 Workshop on Artificial Neural Networks in Pattern Recognition","ANNPR","B2"
"ANTS - International Conference on Swarm Intelligence","ANTS","B2"
"AOFA - International Conference on Probabilistic, Combinatorial and Asymptotic Methods for the Analysis of Algorithms","AOFA","B5"
"APCASE - Asia-Pacific Conference on Computer Aided System Engineering","APCASE","B4"
"APDCM - Workshop on Advances in Parallel and Distributed Computational Models","APDCM","B4"
"APLAS - Asian Symposium on Programming Languages and Systems","APLAS","B1"
"ARC - International Symposium on Applied Reconfigurable Computing","ARC","B1"
"ARES - International Conference on Availability, Reliability and Security","ARES","A2"
"ArgMAS - International Workshop on Argumentation in Multiagent Systems","ARGMAS","B5"
"ARMS-CC - International Workshop on Adaptive Resource Management and Scheduling for Cloud Computing","ARMS-CC","B4"
"ASAP - IEEE International Conference on Application-specific Systems, Architectures and Processors","ASAP","B1"
"ASE - IEEE/ACM International Conference on Automated Software Engineering","ASE","A1"
"ASIACRYPT - Annual International Conference on the Theory and Applications of Cryptology and Information Security","ASIACRYPT","A1"
"ASONAM - IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining","ASONAM","A2"
"ASPLOS - International Conference on Architectural Support for Programming Languages and Operating Systems","ASPLOS","A1"
"ASSETS - International ACM SIGACCESS Conference on Computers and Accessibility","ASSETS","A2"
"ASYNC - IEEE International Symposium on Asynchronous Circuits and Systems","ASYNC","B2"
"ATT - International Workshop on Agents in Traffic and Transportation","ATT","B4"
"AVSS - IEEE International Conference on Advanced Video and Signal Based Surveillance","AVSS","A2"
"BAI - Workshop on Advances in Bioinformatics and Artificial Intelligence: bridging the Gaps","BAI","B4"
"BCB - ACM International Conference on Bioinformatics and Computational Biology and Health Informatics","BCB","B2"
